Name,SaxoId,WpId,Boten
-5456831734576246383,20203942,1970,"Baby Avocado's,Amstelsch gøud,Taørt,STRIJDLØSTIG"
-7503962078928739405,20203940,1968,"Knettâh,ØK,DCL8+"
-4673384173429494299,20012123,1113,
4273243590570684613,20203320,1411,"Middengroep Zwaar 2015,Oude Vier 2015,Ouderejaars Zwaar 2016,Oude Vier,Ouderejaars Zwaar 2017,Ouderejaars Zwaar,Ouderejaars Heren,Middengroep Zwaar"
3131485771293917772,20203806,1835,"Eerstejaars Zwaar 2016,Middengroep Zwaar 2017,Middengroep Zwaar"
2218859363396988583,20062152,78,
-2991480449040189023,20203983,2011,"Matrøzen,Tøny,Føutje,VAMØS,Røy en Nina,Søepøltjes,DCl4*,Roy Koelman"
-8602293768848488175,19663002,21,
-3937998907613503340,20203370,1218,"De Geile Gørilla's,Dames Talenten 8,Eerstejaars Dames 2016,Middengroep Dames 2017,Dtal8+ '17,Ouderejaars Heren"
-6805717760549605372,20132114,905,"Wølfpack,Vløt"
-6001388081786603567,20203744,1763,"Onskølldig,CompoCie-8"
-8228441331590435660,20203697,1711,"Compokast,Escalerende Compokasten,STØEIPØEZEN,Twørk"
-7192677727397972156,20203758,1778,"Hunk&Möller,Monsterboot,Oud Licht,Eerstejaars Licht"
1016067525498107415,20203922,1950,"HTalenten8,Lekker Droog,Eerstejaars Zwaar 2017,Taørt,Middengroep Zwaar,Dames Talenten 8+,Eerstejaars Zwaar"
-4473896669529250163,20112017,336,Brakke koppen
7971888734223903158,20203217,1215,"Prinsesjes Pils,LIL BØØT,Spice Skørlls,Middengroep Lichte Dames"
-7515584790232140199,19964008,31,
-5609317935489269541,20203700,1714,"HCl8+,Herenclubacht,Eerstejaars Licht 2018,Oud Licht,Eerstejaars Lichte Dames,Middengroep Lichte Dames "
6636651702098329074,20203579,1642,"Bøøtje in de Water,Dørst,Finding Gløry,Tøga,Heren TopC4+"
-3133049544549107714,20203146,1500,
2143814640791763270,20092164,206,
5615789728483581298,20122111,574,"Eerstejaars Licht 2013,Cede Maiøri"
1554881843121650024,20203637,1644,"De Vliegende Skøllander,Prøwst,VAMØS"
-3601195387381774254,20203973,2001,"Vinøløgen,First Røw,Kørt maar krachtig"
-7312171433115548333,20042021,51,Damesclubacht
-3880731735287393404,20092219,221,
-8423789335253651223,20203332,1436,"Clubacht Heren 2015,Cupibøøt,Just Røw With It,Team Rocket,Licht Getalenteerd,Les Désølées,Agoraphobia,Eerstejaars Licht 2017,Søbtiel,Head Mixed4*,Oud Licht,Jon&Juul,Iris²,Nog steeds Önderweg,Dames Talenten 4*,Eerstejaars Lichte Dames,Eerstejaars Licht"
-515433820758001081,20203970,1998,"DTalenten8,Haringdrøøm,Licht Getalenteerd,Knettâh"
-3086648884990646650,20203911,1940,"Duø Penøtti,Ønvøldøende,HCl8+,STØEIPØEZEN,Desbøøt voor de smaak,Vergeten støømuil,Vergeten Støømuil 2.0,Åtte Øl"
-3349652052712701859,20021026,1122,
-6073357386478980322,20203757,1777,"Jalapeñøs,DTalenten8,Les Désølées,Eerstejaars Dames 2017,Middengroep Dames,Eerstejaars Zwaar"
-411991495409777894,20082095,130,
1589562146305722741,20203474,1509,"Clubacht Heren 2015,Cupibøøt,Eerstejaars Licht 2016,Eerstejaars Licht 2017,Middengrøep Gayns,Eerstejaars Licht 2018,Niet op gewicht"
-1465823812715535328,20132116,907,
-5252671146071260557,20203492,1522,"Vløt,DCl4*,Dames Talenten 8,Herenclubacht,Middengroep Zwaar,Ouderejaars Heren"
5947742421937020159,20203872,1912,"Anonymøs,Monsterboot,Bøterglad,Heren Talenten 8+,Eerstejaars Zwaar,Middengroep Zwaar"
6478536626231233980,20203425,1490,"Als een Tijger,CompoCie-8,Førstemannen,Ønvierwacht,Ouderejaars Dames,Beukman & Beukman,Eerstejaars Dames"
3785104572998514987,20203834,1868,"Hunk&Möller,HerenTopC4+,Røstagh,Monsterboot,HTopC4+,HCL8+,Tijgørs,Søepøltjes,Dames Clubdubbelvier"
-6131467473159151080,20112047,351,"Middengroep Zwaar 2014,Eerstejaars Zwaar 2012,Eerstejaars Zwaar 2015,Middengroep Zwaar 2017,Ouderejaars Zwaar,Ouderejaars Heren"
-6892317910374671824,20132089,880,"Clubacht Heren,Nø Stress,Eerstejaars Licht 2015,OudLicht 2016,OudLicht 2017,Oud Licht,Eerstejaars Licht,Oudlicht"
4196232612836505197,20203129,1289,"Eerstejaars Zwaar 2015,Middengroep Zwaar 2016,Oude Vier,Ouderejaars Zwaar 2017,Ouderejaars Zwaar,Ouderejaars Heren"
-6231269575775736277,20203693,1708,"Compokast,Eerstejaars Zwaar 2017,Middengroep Zwaar,Heren Talenten 8+,Eerstejaars Dames"
2841580487867936918,20123041,699,"Eerstejaars Dames 2014,Middengroep Dames 2015,Ouderejaars Dames 2016,Ouderejaars Dames 2017,Ouderejaars Dames"
624283660585515800,20203657,1670,"Eerstejaars Licht 2016,OudLicht 2017,Ouderejaars Licht,Ouderejaars Heren"
-6544077186346011907,20123020,680,"Eerstejaars Licht 2014,Straight zø die geht! ,Clubacht Dames 2015,Bliksemzwicht,Eerstejaars Licht 2017,Oud Licht"
7842829133420044847,20203163,1322,"Bøatways,Tømatøs,Straight Outta Compo,DamesTopC4+,HCl8+,Jochem Zonneveld,Heren Talenten 8+,Eerstejaars Licht,Heren Clubacht,Cøølman 2.0"
1049038118944280937,20102001,243,"Middengroep Zwaar 2012,Eerstejaars Zwaar 2011,Middengroep Zwaar 2013,Middengroep Zwaar 2014,Oude vier 2014,Middengroep Zwaar 2015,Instapclubacht Dames,Oude Vier 2015,Heren Talenten8,Eerstejaars Dames 2016,Mix2x,Eerstejaars Dames 2017,Middengroep Dames,Eerstejaars Dames,Ouderejaars Dames"
-7871169792270150170,20203818,1848,"Eerstejaars Dames 2016,Middengroep Dames 2017,Middengroep Dames,Cøølman,Heren TopC4+,Heren Clubvier - Gerstekracht"
8787988624844249485,20111033,321,"Eerstejaars Licht 2013,Eerstejaars Licht 2012,Middengroep Zwaar 2015,Oude Vier 2015,Ouderejaars Zwaar 2016,Middengroep Zwaar 2016,Ouderejaars Zwaar 2017"
-4513117540767612683,20203328,1262,"Eerstejaars Dames 2015,Ouderejaars Dames 2016,Ouderejaars Dames 2017,Søbtiel,Ouderejaars Dames"
-3019122284221317088,20132039,830,"Eerstejaars Zwaar 2014,Zevende Hemøll ,Cedo Nulli,Eerstejaars Zwaar 2015,Titønic,Middengroep Zwaar 2016,Bøtsbootje,Hete Bliksems,Tøtale Escalatie,Titvanger,DTalenten8,Licht Getalenteerd,Middengroep Zwaar 2017,Escalatie 17,Søbtiel,Knettâh,Middengrøep Gayns,Middengroep Dames,Middengroep Zwaar,ØK,2x zo snel,Eerstejaars Dames"
6275245564694831843,20203924,1952,"GRØØTS,Eerstejaars Licht 2017,Eerstejaars Licht"
8930400574522834352,20123007,668,"Middengroep Zwaar 2013,Middengroep Zwaar 2014,Middengroep Zwaar 2015,Ouderejaars Zwaar 2016,Ouderejaars Zwaar 2017,Ouderejaars Zwaar,Ouderejaars Heren"
9203940151228125997,20082087,129,"Legacy ,Zevende Hemøll ,Vaarverbøøt,Adrien"
7906879189808877623,19873003,24,"Ouderejaars Dames,Ouderejaars Heren"
1357609113815269186,20203852,1890,"Absølut,Ødins øl,VAMØS,Eerstejaars Dames,Middengroep Dames"
-7350887215285814631,19923010,26,
-6295906294156012236,19903001,1116,
7923080719963664638,20072054,93,"Hollandsche Nieuwe,OudLicht 2014,Middengroep Dames 2015,Oudlicht 2013,Ouderejaars Zwaar 2017,Ouderejaars Zwaar,Ouderejaars Heren"
-2955025527919505924,20132129,920,"Clubacht Heren,Nø Stress,Mannenhardt,Watskebøøt Deluxe"
6436917899239982093,20131010,736,"10 eroverheen,Mannenhardt,Øl Brødre"
7250063752898373950,20042034,52,
2824602179384065610,20132217,1008,"Nø Stress,Dames Talenten 8,Luxe Benen,Møartens Angels"
-8408106268904808955,20203177,1396,"Eerstejaars Zwaar 2015,Middengroep Zwaar 2016"
-6669198471684556800,19733001,1124,
7215761087449000877,20132103,894,"Clubacht Heren,Nø Stress,Petit Bateau,Úlfhéðnar,Eerstejaars Zwaar 2016,Middengroep Zwaar 2017,Dames Talenten 8+,Middengroep Zwaar"
8057054435908989684,20203708,1723,"Sombrerøw,Eerstejaars Dames 2017,DCl8+,Bløb,Pøwer,Øzøsnel"
-8368456934439316800,20132248,1039,"Wølfpack,Vløt,Row your Goat"
-1452654013272484780,20203639,1646,"Eerstejaars Dames 2016,Middengroep Dames 2017,Dtal8+ '17,Eerstejaars Dames 2018,Cøølman"
8867771988370195861,20203916,1604,
-3618658172012933834,19883001,1121,
