Naam,Geslacht,Welke sporten heb je beoefend?,"Anders, namelijk",Hoeveel jaar heb je je langst beoefende sport beoefend?,Wat is het fanatiekst dat je hebt gesport?,Wat is je beste sportprestatie?,Heb je eerder geroeid?,"Zo ja, hoe lang?","Zo ja, hoe vaak per week?","Zo ja, bij welke vereniging?",Hoe vaak ben je van plan te gaan roeien per week?,Gewicht (in kg),Lengte (in cm),Ik wil naar Skøll voor,Heb je je naast sport op een ander gebied buitengewoon ingezet?,Waar ken je Skøll van?,"Anders, namelijk.1",Waarom zou jij goed bij Skøll passen?,Instituut,Wanneer ben je begonnen met je studie?,Wanneer verwacht je af te studeren?,Heb je je zwemdiploma A?,"Indien je niet in Amsterdam woont, ben je op zoek naar een kamer in Amsterdam?","Op Skøll eten veel mensen vegetarisch, pas je voorkeur hieronder aan als je toch wel vlees wilt eten",Heb je medische bijzonderheden waar wij rekening mee moeten houden?,Namelijk,Heb je allergieën waar wij rekening mee moeten houden?,Wanneer kun je roeien?
7864534534540684764,Vrouw,"rowing, tennis, other",Ballet,Ballet-6 jaar Tennis-11 jaar,,Meervoudig clubkampioen tennis ,Ja,1/2 jaar,Minder dan 2 keer per week,Zwolsche Roei en Zeil Vereniging,Meer dan 4 keer per week,62,180,,,other,Familie,Ik ben enthousiast en gemotiveerd om hard te roeien in een positieve omgeving,,,,Nee,n.v.t.,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ne ne"
5419786849097829421,Man,"atletics, ice-skating, swimming","Kitesurfen, snowboarden",10 jaar,,Dagen lang snowboarden en kitesurfen,Nee,,? keer per week,,3 à 4 keer per week,65,176,,,friend,,"Ik ben een sociale, sportieve en gezellige jongen die het leuke vind om in een gezelige sfeer te roeien",Hogeschool van Amsterdam,,,Nee,n.v.t.,,Nee,,,"ne ja ja ja, ne ja ja ja, ne ja ja ja, ne ja ja ja, ne ja ja ja"
-6117707888134818157,Vrouw,other,Turnen en paardrijden,4 jaar,,2x per week groepslessen bij sportcentrum VU,Nee,,? keer per week,,2 à 3 keer per week,76,175,,,friend,,"Ik wil mij al een hele tijd aansluiten bij een studentenroeivereniging, het afgelopen jaar heb ik rondgevraagd welke verenigingen leuk zijn om bij te roeien. Een vriendin van mij was heel erg enthousiast over skoll en heeft mij overgehaald. Ik heb erg veel zin om te leren roeien en fitter te worden. Daarnaast ben ik altijd wel in voor een feestje en ik ben daarom erg benieuwd naar de wekelijkse borrels en de feesten! ",Vrije Universiteit Amsterdam,,,Nee,Nee,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ne ne ne ne, ne ja ja ja"
-8496796740073669065,Vrouw,other,Dansen en turnen,6 jaar,,,Nee,,? keer per week,,2 à 3 keer per week,61,170,,,friend,,Ik wil graag de sport roeien gaan beoefenen en er een betere sporter mee worden. Verder vind ik gezelligheid ook erg belangrijk. ,,,,Nee,n.v.t.,,Nee,,,"ja ja ja ja, ne ne ja ja, ne ja ja ja, ne ne ja ja, ja ja ja ja"
-4555060004506103813,Vrouw,other,"Turnen, hardlopen en dansen",In totaal 6 jaar,,"Deze vakantie heb ik een berg beklommen waarbij de route veel zwaarder bleek te zijn dan verwacht. Als kind heb ik vaker bergtochten gemaakt met mijn ouders dus ik ben in die zin wel wat gewend, maar deze tocht had ik onderschat. Omdat het die dag ook nog eens super warm was, heb ik vaak het idee gehad om er mee te stoppen en terug te gaan. Toen ik na lang doorzetten toch op de top van de berg uitkwam gaf dat een heel goed en voldaan gevoel. ",Ja,Een keer om het uit te proberen,? keer per week,Skoll,2 à 3 keer per week,67,186,,,"friend, stand",,"Skoll is een vereniging waarbij de combinatie van hard roeien en gezelligheid centraal lijkt te staan. Beide zijn een goede aanvulling op mijn studentenleven. Ik zal op mijn beurt mijn best doen om een goede aanvulling voor Skoll te zijn. Het roeien zelf lijkt mij een hele mooie sport, omdat je samen met andere sportief bezig bent. Daarnaast heb ik er heel veel zin in omdat ik graag weer wat meer fysiek bezig wil zijn en ik ook graag meer nieuwe mensen wil leren kennen in Amsterdam. Dat heeft mij samen met de vrienden van mij die bij Skoll zitten, en de borrels en feesten waarbij ik aanwezig ben geweest, overtuigd van het feit dat Skoll de perfecte vereniging voor mij is.",,,,Nee,n.v.t.,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ne ne ja ja, ja ja ja ja"
-4239968998360171722,Vrouw,"volleyball, other",Korfbal,11 jaar gekorfbald,,"spelen in de A1, hoofdklasse van korfbal",Nee,,? keer per week,,3 à 4 keer per week,60,171,,,"internet, friend",,Ik houd van sporten en vind het leuk om met een team te trainen en samen beter te worden. Ook ben ik op zoek naar de gezelligheid van een studentenvereniging zonder de verplichtingen. Ik denk dat bij Skoll deze twee dingen heel goed te combineren zijn!,Universiteit van Amsterdam,,,Nee,n.v.t.,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
4052585494529912202,Man,"atletics, other",Judo & Honkbal,"Atletiek 3 jaar, Honkbal 11 jaar, Judo 10 jaar",,Benoemd tot MVP van ons honkbal team & 2e van mijn gewichtsklasse bij een judo toernooi regio midden Nederland.,Nee,,? keer per week,,2 à 3 keer per week,78,187,,,"friend, other",Gesproken met leden tijdens het hospiteren,"Omdat ik al een tijdje naar een nieuwe wil beoefenen. Omdat ik graag wat meer mensen wil leren kennen in Amsterdam, ik woon er namelijk pas sinds 31 mei dit jaar. En omdat ik natuurlijk hou van gezelligheid en bier.",,,,Nee,n.v.t.,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
-4957429535930865411,Vrouw,other,Turnen,10 jaar,,16e op het NK,Nee,,? keer per week,,3 à 4 keer per week,62,174,,,friend,,"Ik ben gemotiveerd en ga altijd zo ver als ik kan, geef nooit op en ben een doorzetter ",,,,Nee,Ja,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ne ne ne ne"
-8621044919762479537,Vrouw,"rowing, swimming, other",Dansen,7 jaar,,2e bij de Orca slot in poule 1 A finale,Ja,2 jaar,4 à 5 keer per week,Argo,Meer dan 4 keer per week,66,174,,,friend,,"Ik wil heel graag doorgaan met fanatiek roeien. Ik heb mijn bachelor afgerond in Wageningen (waar ik twee jaar bij Argo heb geroeid en erg actief was voor verschillende commissies). Nu ga ik in Amsterdam studeren. Skoll lijkt mij de gezelligste roeivereniging van Amsterdam:)! Bij skoll kan je terecht voor een gezellig biertje, maar ook zeker om hard te roeien!",,,,Nee,n.v.t.,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
4953839317017934982,Man,"soccer, tennis",,13,,Hoofdklasse voetbal,Nee,,? keer per week,,Meer dan 4 keer per week,98,201,,,"poster, internet",,,,,,Nee,n.v.t.,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
